name,salary_from,salary_to,salary_currency,area_name,published_at
Копирайтер (журналист),35000.0,,RUR,Санкт-Петербург,2022-12-16T07:12:51+0300
Специалист по ИТ,70000.0,,RUR,Ростов-на-Дону,2022-12-16T08:12:22+0300
Механик по транспорту,350000.0,500000.0,KZT,Астана,2022-12-16T07:17:55+0300
UX/UI Дизайнер,,,,Москва,2022-12-16T09:48:38+0300
Корректор,25000.0,,RUR,Казань,2022-12-16T08:37:49+0300
Сервисный инженер по ремонту спецтехники Caterpillar,,,,Челябинск,2022-12-16T08:26:02+0300
Специалист службы заботы о клиентах (удаленно),34500.0,,RUR,Хабаровск,2022-12-16T09:33:24+0300
Тестировщик ПО,,,,Казань,2022-12-16T09:51:20+0300
.NET Developer,200000.0,,RUR,Москва,2022-12-16T09:51:39+0300
Технический директор,130000.0,,RUR,Владивосток,2022-12-16T08:42:32+0300
Механик по транспорту,60000.0,,RUR,Самара,2022-12-16T09:32:12+0300
Тестировщик,,,,Смоленск,2022-12-16T09:37:02+0300
Account Manager in Payments (PSP Manager),,2500.0,USD,Алматы,2022-12-16T09:54:15+0300
Manual QA engineer,800.0,,USD,Ташкент,2022-12-16T09:17:25+0300
Начальник автоколонны,80000.0,,RUR,Волгоград,2022-12-16T08:56:29+0300
Специалист по IT,90000.0,100000.0,RUR,Москва,2022-12-16T09:52:30+0300
Помощник системного администратора,,25000.0,RUR,Барнаул,2022-12-16T09:52:35+0300
Руководитель направления разработки,355000.0,520000.0,RUR,Нижний Новгород,2022-12-16T09:27:42+0300
Разработчик Python,,,,Москва,2022-12-16T09:12:22+0300
Графический дизайнер,60000.0,70000.0,RUR,Санкт-Петербург,2022-12-16T09:45:11+0300
Специалист технической поддержки,55000.0,,RUR,Кемерово,2022-12-16T08:12:30+0300
Аналитик,,,,Москва,2022-12-16T09:51:58+0300
Экономист - аналитик,100000.0,,RUR,Москва,2022-12-16T07:50:20+0300
Системный администратор,5000000.0,7500000.0,UZS,Ташкент,2022-12-16T08:37:39+0300
DevOps-инженер,,,,Челябинск,2022-12-16T08:27:21+0300
Механик,100000.0,,RUR,Уфа,2022-12-16T09:39:22+0300
Специалист Технической поддержки,,70000.0,RUR,Новороссийск,2022-12-16T09:54:43+0300
Специалист по информационным технологиям,50000.0,60000.0,RUR,Калининград,2022-12-16T09:50:27+0300
Ruby on Rails программист,,,,Минск,2022-12-16T09:58:24+0300
Механик автомобильного транспорта,,65000.0,RUR,Иркутск,2022-12-16T09:36:19+0300
Стажер технической поддержки,25000.0,,RUR,Новосибирск,2022-12-16T07:22:26+0300
Сервисный инженер,48000.0,,RUR,Брянск,2022-12-16T09:46:25+0300
"Специалист направления ""Лабораторная диагностика""",110000.0,,RUR,Москва,2022-12-16T08:56:39+0300
Специалист технической поддержки,,55000.0,RUR,Воронеж,2022-12-16T09:23:55+0300
Системный администратор,30000.0,35000.0,RUR,Магнитогорск,2022-12-16T08:16:33+0300
